,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,55.9,82,0,8.01,clear sky
1,Busselton,AU,-33.65,115.3333,51.26,84,0,7.67,clear sky
2,Tawala,PH,9.5542,123.7696,78.76,84,100,12.39,overcast clouds
3,Castro,BR,-24.7911,-50.0119,56.8,99,100,4.16,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,45.48,94,100,2.1,light rain
5,Punta Arenas,CL,-53.15,-70.9167,39.31,87,75,31.07,light rain
6,Longido,TZ,-2.7333,36.6833,57.97,84,56,7.45,broken clouds
7,Padang,ID,-0.9492,100.3543,71.65,73,39,4.05,scattered clouds
8,Ancud,CL,-41.8697,-73.8203,42.22,77,12,8.03,few clouds
9,New Norfolk,AU,-42.7826,147.0587,44.92,76,71,2.75,broken clouds
10,Forio,IT,40.7342,13.8646,83.82,74,15,1.01,few clouds
11,Bethel,US,41.3712,-73.414,76.03,93,75,9.22,mist
12,Nanortalik,GL,60.1432,-45.2371,46.96,80,72,6.62,broken clouds
13,Montepuez,MZ,-13.1256,38.9997,60.42,97,41,4.14,scattered clouds
14,Rikitea,PF,-23.1203,-134.9692,74.71,74,13,10.74,few clouds
15,San Juan,AR,-31.5375,-68.5364,48.27,46,0,5.26,clear sky
16,Marystown,CA,47.1666,-55.1483,63.86,100,93,1.01,overcast clouds
17,Talnakh,RU,69.4865,88.3972,61.21,51,81,1.23,broken clouds
18,Grenaa,DK,56.4158,10.8783,62.82,87,67,10.51,broken clouds
19,Cabo San Lucas,MX,22.8909,-109.9124,93.61,66,20,11.5,few clouds
20,East London,ZA,-33.0153,27.9116,68.81,35,20,10.0,few clouds
21,Barra Do Garcas,BR,-15.89,-52.2567,71.22,28,0,0.65,clear sky
22,Ushuaia,AR,-54.8,-68.3,37.06,87,75,10.36,light rain
23,Albany,US,42.6001,-73.9662,76.73,88,100,1.99,overcast clouds
24,Jamestown,US,42.097,-79.2353,74.95,83,100,11.5,overcast clouds
25,Faanui,PF,-16.4833,-151.75,76.6,68,55,5.93,broken clouds
26,Dali,CN,25.7,100.1833,65.52,90,100,3.98,overcast clouds
27,Valley,US,45.1277,-116.1262,72.21,17,0,7.23,clear sky
28,Yarada,IN,17.65,83.2667,79.12,94,40,2.3,mist
29,Avarua,CK,-21.2078,-159.775,75.25,73,75,8.05,broken clouds
30,Veere,NL,51.5483,3.6667,75.2,63,19,11.5,few clouds
31,Dikson,RU,73.5069,80.5464,43.88,81,83,13.69,broken clouds
32,Airai,TL,-8.9266,125.4092,61.11,46,90,3.11,overcast clouds
33,Aktau,KZ,43.65,51.2,79.38,49,0,9.66,clear sky
34,Hobart,AU,-42.8794,147.3294,45.27,84,75,8.05,broken clouds
35,Bluff,NZ,-46.6,168.3333,45.81,73,100,15.52,light rain
36,Atuona,PF,-9.8,-139.0333,77.68,67,68,14.88,broken clouds
37,Maple Creek,CA,49.9168,-109.4848,68.41,68,83,11.5,broken clouds
38,Qandala,SO,11.472,49.8728,87.48,52,83,11.83,broken clouds
39,Chapais,CA,49.7834,-74.8492,80.38,55,78,5.48,broken clouds
40,Butaritari,KI,3.0707,172.7902,82.6,74,12,19.46,few clouds
41,El Dorado,US,38.7666,-120.5177,94.8,20,5,1.99,clear sky
42,San Vicente,AR,-26.6167,-54.1333,54.48,99,100,1.59,moderate rain
43,Tutoia,BR,-2.7619,-42.2744,79.02,79,43,11.56,scattered clouds
44,Margate,GB,51.3813,1.3862,75.9,65,32,1.01,scattered clouds
45,Gijon,ES,43.5357,-5.6615,69.26,80,22,4.0,few clouds
46,Hermanus,ZA,-34.4187,19.2345,53.8,83,98,2.82,overcast clouds
47,Iqaluit,CA,63.7506,-68.5145,42.53,86,75,10.36,broken clouds
48,Chenghai,CN,23.4632,116.768,82.31,89,75,4.47,broken clouds
49,Port Lincoln,AU,-34.7333,135.8667,53.85,62,100,12.59,overcast clouds
50,Mirabad,AF,30.4362,61.8383,91.49,12,0,14.32,clear sky
51,Valenca,BR,-13.3703,-39.0731,68.68,96,65,3.76,light rain
52,Luderitz,NA,-26.6481,15.1594,56.91,85,1,10.89,clear sky
53,Bantry,IE,51.6833,-9.45,66.78,81,100,4.16,overcast clouds
54,Lazaro Cardenas,MX,17.9583,-102.2,83.89,73,100,6.76,overcast clouds
55,Singaraja,ID,-8.112,115.0882,79.23,75,95,4.88,overcast clouds
56,Vaini,TO,-21.2,-175.2,78.96,83,40,12.66,scattered clouds
57,Beroroha,MG,-21.6667,45.1667,65.43,67,0,8.59,clear sky
58,Lhokseumawe,ID,5.1801,97.1507,79.66,85,98,9.8,overcast clouds
59,Rabo De Peixe,PT,37.8,-25.5833,71.11,88,75,6.91,broken clouds
60,College,US,64.8569,-147.8028,62.58,69,75,16.11,broken clouds
61,Georgetown,MY,5.4112,100.3354,82.33,90,40,10.36,thunderstorm with light rain
62,Puerto Ayora,EC,-0.7393,-90.3518,69.55,93,88,5.99,overcast clouds
63,Maningrida,AU,-12.0667,134.2667,76.55,57,100,10.67,overcast clouds
64,Barrow,US,71.2906,-156.7887,42.82,81,100,19.57,overcast clouds
65,Pesaro,IT,43.9036,12.8903,74.21,59,0,4.99,clear sky
66,Yuty,PY,-26.6,-56.25,57.31,97,98,2.01,overcast clouds
67,Sayyan,YE,15.1718,44.3244,66.11,39,97,4.56,overcast clouds
68,Beringovskiy,RU,63.05,179.3167,55.04,50,8,22.24,clear sky
69,Isangel,VU,-19.55,169.2667,80.71,83,75,2.3,broken clouds
70,Qaanaaq,GL,77.484,-69.3632,44.13,63,0,4.92,clear sky
71,Guerrero Negro,MX,27.9769,-114.0611,78.17,56,4,15.05,clear sky
72,San Cristobal,VE,7.7669,-72.225,75.38,92,100,1.57,overcast clouds
73,Tasiilaq,GL,65.6145,-37.6368,41.16,85,46,0.63,scattered clouds
74,Rassvet,RU,46.8333,40.75,59.41,66,0,2.24,clear sky
75,Tautira,PF,-17.7333,-149.15,75.67,73,14,6.08,light rain
76,Saldanha,ZA,-33.0117,17.9442,50.05,79,0,10.49,clear sky
77,Bengkulu,ID,-3.8004,102.2655,75.6,86,3,3.58,clear sky
78,Shiyan,CN,32.6475,110.7781,72.3,87,100,3.76,overcast clouds
79,Port Hedland,AU,-20.3167,118.5667,55.45,88,3,9.22,clear sky
80,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,88,20,3.44,few clouds
81,Jiuquan,CN,39.7432,98.5174,71.56,30,11,1.3,few clouds
82,Saint-Junien,FR,45.8833,0.9,82.85,42,0,4.5,clear sky
83,Ozernovskiy,RU,51.5,156.5167,59.43,81,72,5.48,broken clouds
84,Thompson,CA,55.7435,-97.8558,75.36,53,40,5.75,scattered clouds
85,Alofi,NU,-19.0595,-169.9187,78.69,69,75,17.27,broken clouds
86,Chicama,PE,-7.8447,-79.1469,59.54,80,35,6.87,scattered clouds
87,Port Alfred,ZA,-33.5906,26.891,63.81,56,83,7.7,broken clouds
88,Nuuk,GL,64.1835,-51.7216,48.81,76,75,6.91,broken clouds
89,San Luis,AR,-33.295,-66.3356,45.46,38,9,11.79,clear sky
90,Marawi,PH,7.9986,124.2928,69.75,95,100,0.76,heavy intensity rain
91,Mount Gambier,AU,-37.8333,140.7667,40.91,93,100,0.0,mist
92,High Level,CA,58.5169,-117.136,78.91,44,75,6.91,broken clouds
93,Tuktoyaktuk,CA,69.4541,-133.0374,66.2,82,100,10.36,overcast clouds
94,Chuy,UY,-33.6971,-53.4616,47.3,84,15,3.65,few clouds
95,Laguna,US,38.421,-121.4238,105.76,14,0,11.5,clear sky
96,Urengoy,RU,65.9667,78.3667,58.26,65,86,12.08,overcast clouds
97,Denpasar,ID,-8.65,115.2167,76.71,88,40,5.75,scattered clouds
98,Porto Novo,BJ,6.4965,2.6036,76.82,84,85,5.73,overcast clouds
99,Carros,FR,43.7894,7.184,81.3,55,0,12.66,clear sky
100,Bredasdorp,ZA,-34.5322,20.0403,53.89,86,100,1.92,overcast clouds
101,Katsuura,JP,35.1333,140.3,80.62,88,100,21.59,light rain
102,Bambous Virieux,MU,-20.3428,57.7575,68.25,73,75,20.71,light rain
103,Namibe,AO,-15.1961,12.1522,64.45,86,53,3.33,broken clouds
104,Souillac,MU,-20.5167,57.5167,68.38,73,75,20.71,broken clouds
105,Torbay,CA,47.6666,-52.7314,66.97,78,100,14.97,overcast clouds
106,Vardo,NO,70.3705,31.1107,55.38,82,26,0.0,scattered clouds
107,Muroto,JP,33.2833,134.15,81.03,89,100,19.98,light rain
108,Saint George,US,37.1041,-113.5841,103.42,18,0,18.41,clear sky
109,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,59,16.91,light rain
110,Nikolskoye,RU,59.7035,30.7861,54.81,93,56,4.65,broken clouds
111,Vestmannaeyjar,IS,63.4427,-20.2734,51.44,88,100,9.93,light rain
112,Obregon,NI,11.9566,-85.9636,82.49,89,97,8.79,overcast clouds
113,Russell,US,32.3502,-85.1999,91.0,58,0,4.61,clear sky
114,Sinnamary,GF,5.3833,-52.95,78.8,84,69,8.68,broken clouds
115,Sao Filipe,CV,14.8961,-24.4956,76.5,80,17,9.28,few clouds
116,Maceio,BR,-9.6658,-35.7353,78.24,83,40,9.22,scattered clouds
117,Honningsvag,NO,70.9821,25.9704,51.55,93,75,0.0,broken clouds
118,Shingu,JP,33.7333,135.9833,79.9,89,100,8.97,light rain
119,The Valley,AI,18.217,-63.0578,82.54,74,40,11.5,scattered clouds
120,Egvekinot,RU,66.3167,-179.1667,49.66,46,99,10.22,overcast clouds
121,Pacific Grove,US,36.6177,-121.9166,79.56,77,0,10.36,clear sky
122,Solwezi,ZM,-12.1688,26.3894,52.47,60,26,4.5,scattered clouds
123,Port Hardy,CA,50.6996,-127.4199,62.78,72,75,11.5,broken clouds
124,Aklavik,CA,68.2191,-135.0107,67.26,57,100,10.04,overcast clouds
125,Kambove,CD,-10.8764,26.5969,54.61,57,6,4.16,clear sky
126,Kruisfontein,ZA,-34.0033,24.7314,57.88,93,61,3.11,broken clouds
127,Kargasok,RU,59.0556,80.8572,57.58,77,87,10.47,overcast clouds
128,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.24,81,25,13.51,scattered clouds
129,Maridi,SS,4.9158,29.4742,66.52,98,100,2.06,light rain
130,Upernavik,GL,72.7868,-56.1549,43.47,77,100,2.98,overcast clouds
131,Fort Nelson,CA,58.8053,-122.7002,72.99,49,75,13.8,broken clouds
132,Kodiak,US,57.79,-152.4072,56.71,72,20,5.75,few clouds
133,Provideniya,RU,64.3833,-173.3,44.71,81,75,18.01,broken clouds
134,Hithadhoo,MV,-0.6,73.0833,81.84,74,100,13.73,overcast clouds
135,Mafinga,TZ,-7.25,35.0667,62.55,62,51,4.29,broken clouds
136,Taltal,CL,-25.4,-70.4833,59.92,70,12,4.09,few clouds
137,Leningradskiy,RU,69.3833,178.4167,34.48,93,100,20.07,light snow
138,Sungairaya,ID,0.7,108.9,78.6,81,97,6.33,overcast clouds
139,Yellowknife,CA,62.456,-114.3525,73.92,49,75,4.61,broken clouds
140,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,94,100,19.57,overcast clouds
141,Wageningen,NL,51.9667,5.6667,72.95,73,5,2.3,clear sky
142,Lianran,CN,24.9227,102.485,66.74,95,100,2.75,overcast clouds
143,Petatlan,MX,17.5167,-101.2667,84.94,68,98,5.39,overcast clouds
144,Sandwick,GB,60.0,-1.25,55.22,100,100,10.36,overcast clouds
145,Labuhan,ID,-6.8844,112.2051,77.04,83,58,6.89,broken clouds
146,Zhigansk,RU,66.7697,123.3711,54.16,74,100,16.84,overcast clouds
147,Verkhoyansk,RU,67.5447,133.385,57.07,81,87,7.7,light rain
148,Karasjok,NO,69.4719,25.5112,50.72,92,84,4.16,broken clouds
149,Scarborough,GB,54.2797,-0.4044,72.93,65,33,3.15,scattered clouds
150,Tambun,ID,-6.2641,107.0712,79.03,86,51,2.91,broken clouds
151,Zapolyarnyy,RU,69.4154,30.8136,56.48,85,89,3.56,overcast clouds
152,Khatanga,RU,71.9667,102.5,53.8,73,100,8.01,overcast clouds
153,Mahebourg,MU,-20.4081,57.7,68.29,73,75,20.71,broken clouds
154,Obo,CF,5.3998,26.4869,67.98,99,100,6.02,light rain
155,Charters Towers,AU,-20.1,146.2667,66.51,48,0,7.76,clear sky
156,Williamsport,US,41.2412,-77.0011,76.26,90,20,4.61,few clouds
157,Port Elizabeth,ZA,-33.918,25.5701,61.32,94,20,4.61,few clouds
158,Taree,AU,-31.9,152.4667,54.1,75,38,5.1,scattered clouds
159,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,73,0,11.5,clear sky
160,Manaure,CO,11.7751,-72.4445,82.92,71,77,21.72,broken clouds
161,Jacqueville,CI,5.2052,-4.4146,76.62,74,54,12.01,broken clouds
162,Kiama,AU,-34.6833,150.8667,53.38,68,79,3.0,light rain
163,Rognan,NO,67.0953,15.3878,51.94,60,99,1.12,overcast clouds
164,Kapaa,US,22.0752,-159.319,85.98,70,20,20.71,few clouds
165,Amalapuram,IN,16.5833,82.0167,77.56,92,99,3.18,overcast clouds
166,Valera,VE,9.3178,-70.6036,73.33,90,84,4.94,broken clouds
167,Garowe,SO,8.4054,48.4845,73.22,69,87,28.48,overcast clouds
168,Clyde River,CA,70.4692,-68.5914,37.63,87,20,10.36,few clouds
169,Bubaque,GW,11.2833,-15.8333,79.3,85,99,10.67,light rain
170,Kilkenny,IE,52.6542,-7.2522,68.47,80,100,3.27,overcast clouds
171,Kudahuvadhoo,MV,2.6708,72.8944,81.61,77,88,16.22,overcast clouds
172,Lagoa,PT,39.05,-27.9833,69.4,88,92,11.34,overcast clouds
173,Bundaberg,AU,-24.85,152.35,66.22,64,15,3.0,few clouds
174,Podgornoye,RU,51.735,39.1496,53.82,94,0,4.47,clear sky
175,Zhezkazgan,KZ,47.8043,67.7144,72.75,61,7,9.8,clear sky
176,Clearwater,US,27.9659,-82.8001,89.22,73,40,13.0,scattered clouds
177,Longyearbyen,SJ,78.2186,15.6401,53.44,62,75,10.36,broken clouds
178,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.9,86,2,8.95,clear sky
179,Kuytun,RU,54.3419,101.5036,57.65,85,100,6.44,overcast clouds
180,Asau,RO,46.4333,26.4,56.95,86,67,3.76,broken clouds
181,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.97,41,6,1.97,clear sky
182,Bilibino,RU,68.0546,166.4372,49.98,57,100,1.86,overcast clouds
183,Broken Hill,AU,-31.95,141.4333,46.0,58,6,9.8,clear sky
184,Merauke,ID,-8.4667,140.3333,78.49,82,90,13.44,overcast clouds
185,Maumere,ID,-8.6199,122.2111,77.68,69,76,6.42,broken clouds
186,Voh,NC,-20.9667,164.7,79.02,75,90,5.21,overcast clouds
187,Saskylakh,RU,71.9167,114.0833,42.67,84,100,14.14,overcast clouds
188,Yumen,CN,40.2833,97.2,72.32,28,26,2.62,scattered clouds
189,Almeirim,BR,-1.5233,-52.5817,76.8,83,89,3.89,overcast clouds
190,Road Town,VG,18.4167,-64.6167,82.44,74,40,13.8,scattered clouds
191,Cidreira,BR,-30.1811,-50.2056,56.32,93,0,3.53,clear sky
192,Srednekolymsk,RU,67.45,153.6833,68.41,39,98,8.12,overcast clouds
193,Banda Aceh,ID,5.5577,95.3222,78.84,79,22,10.56,few clouds
194,Mbarara,UG,-0.608,30.65,66.34,51,67,2.59,broken clouds
195,Lebu,CL,-37.6167,-73.65,44.55,77,73,3.49,broken clouds
196,Verkhnyaya Inta,RU,65.9811,60.3094,61.97,73,15,3.69,few clouds
197,Demba,CD,-5.51,22.2667,76.6,41,100,2.64,overcast clouds
198,Mersin,TR,36.862,34.6509,78.75,63,0,4.65,clear sky
199,Tiksi,RU,71.6872,128.8694,34.72,85,100,20.02,overcast clouds
200,Capelinha,BR,-17.6914,-42.5158,59.4,78,15,4.05,few clouds
201,Fortuna,US,40.5982,-124.1573,73.85,65,17,3.0,few clouds
202,Severo-Kurilsk,RU,50.6789,156.125,56.34,88,99,9.84,overcast clouds
203,Touros,BR,-5.1989,-35.4608,75.58,87,91,12.91,light rain
204,Puri,IN,19.8,85.85,79.32,83,99,9.35,overcast clouds
205,Pangnirtung,CA,66.1451,-65.7125,47.68,71,95,3.31,overcast clouds
206,Vila Do Maio,CV,15.1333,-23.2167,75.99,84,100,12.3,overcast clouds
207,Patiala,IN,30.3267,76.4003,91.24,51,91,4.74,overcast clouds
208,Ternate,ID,0.8,127.4,80.33,75,88,3.89,overcast clouds
209,Hervey Bay,AU,-25.2986,152.8535,66.04,63,42,13.18,scattered clouds
210,Ladushkin,RU,54.5703,20.171,60.66,80,100,8.05,overcast clouds
211,Burgersdorp,ZA,-30.9977,26.3286,46.04,59,11,7.52,few clouds
212,Puerto Escondido,MX,15.85,-97.0667,90.43,62,0,4.61,clear sky
213,Kandrian,PG,-6.2167,149.55,84.18,69,98,5.06,overcast clouds
214,Kavaratti,IN,10.5669,72.642,80.22,81,100,21.5,overcast clouds
215,Ipixuna,BR,-1.7625,-48.8043,75.67,87,81,4.94,light rain
216,Hakkari,TR,37.5833,44.1667,58.78,55,40,3.44,scattered clouds
217,Ulladulla,AU,-35.35,150.4667,49.87,65,82,14.27,broken clouds
218,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,74.75,46,96,1.88,overcast clouds
219,Ribeira Grande,PT,38.5167,-28.7,72.64,91,16,3.6,few clouds
220,Lompoc,US,34.6391,-120.4579,80.01,57,0,14.97,clear sky
221,Tutzing,DE,47.9094,11.2803,63.82,75,66,4.61,broken clouds
222,Tabuk,PH,17.4189,121.4443,79.79,82,99,3.42,overcast clouds
223,Kendari,ID,-3.945,122.4989,76.75,90,100,0.72,overcast clouds
224,North Bend,US,43.4065,-124.2243,81.25,81,0,28.77,clear sky
225,Tampakan,PH,6.4442,124.9264,75.63,92,98,2.35,overcast clouds
226,Wagar,SD,16.1525,36.2032,84.97,56,32,22.12,scattered clouds
227,Namatanai,PG,-3.6667,152.4333,84.54,67,92,8.5,overcast clouds
228,Cobija,BO,-11.0267,-68.7692,76.17,67,1,1.43,clear sky
229,Kushima,JP,31.4583,131.2333,83.75,84,83,13.78,broken clouds
